X,Timestamp,ID,GENDER,AGE,DATE_OF_BIRTH,NATIONALITY,COUNTRY_OF_RESIDENCE,ENGLISH_FIRST_LENGUAGE,IF_NOT_ENGLISH_SPECIFY,HIGHEST_LEVEL_EDUCATION,OCCUPATION,DOMINANT_HAND,DO_YOU_DRIVE,CURRENTLY_LEARNING_DRIVE,CURRENTLY_HOLD_LEARNING_DRIVER_PERMIT,CURRENTLY_HOLD_FULL_DRIVING_LICENSE,RECEIVE_FULL_DRIVING_LICENSE,AGE_STARTED_DRIVING,AVERAGE_KM_MILEAGE_PER_YEAR,HAVE_PENALTY_POINTS,PENALTY_POINTS_FOR_WHAT,COLLISIONS_LAST_TWO_YEARS,HOW_MANY_COLLISIONS_LAST_TWO_YEARS,HOW_SERIOUS_COLLISIONS,FOR_HOW_MANY_WERE_CULPABLE,EVER_SMOKED,SMOKE_CURRENTLY,HOW_MANY_YEARS_SMOKING,HOW_MANY_CIGARETTES_PER_WEEK,EVER_DRANK_ALCOHOL,DRINK_CURRENTLY,HOW_MANY_YEARS_DRINKING,HOW_MUCH_UNITS_OF_ALCOHOL_PER_WEEK,PREVIOUSLY_DIAGNOSED_HEALTH_CONDITION_REQUIRING_SIGNIFICANT_LIFESTYLE_CHANGES.,CONSIDER_YOURSELF_RISKTAKER,DEAL_WITH_RISK_AND_UNCERTANTLY_DAILY_BASIS,Admitting.that.your.tastes.are.different.from.those.of.a.friend,Going.camping.in.the.wilderness,Betting.a.day.s.income.at.the.horse.races,Investing.10..of.your.annual.income.in.a.moderate.growth.mutual.fund,Drinking.heavily.at.a.social.function,Taking.some.questionable.deductions.on.your.income.tax.return,Disagreeing.with.an.authority.figure.on.a.major.issue,Betting.a.day.s.income.at.a.high.stake.poker.game,Having.an.affair.with.a.married.man.woman,Passing.off.someone.else.s.work.as.your.own,Going.down.a.ski.run.that.is.beyond.your.ability,Investing.5..of.your.annual.income.in.a.very.speculative.stock,Going.whitewater.rafting.at.hight.water.in.the.spring,Betting.a.day.s.income.on.the.outcome.of.a.sporting.event,Engaging.in.unprotected.sex,Revealing.a.friend.s.secret.to.someone.else,Driving.a.car.without.wearing.a.seat.belt,Investing.10..of.your.annual.income.in.a.new.business.venture,Taking.a.skydiving.class,Riding.a.motorcycle.without.a.helmet,Choosing.a.career.that.you.truly.enjoy.over.a.more.secure.one,Speaking.your.mind.about.an.unpopular.issue.in.a.meeting.at.work,Sunbathing.without.sunscreen,Bungee.jumping.off.a.tall.bridge,Piloting.a.small.plane,Walking.home.alone.at.night.in.an.unsafe.area.of.town,Moving.to.a.city.far.away.from.your.extended.family,Starting.a.new.career.in.your.mid.thirties,Leaving.your.young.children.alone.at.home.while.running.an.errand,Not.returning.a.wallet.you.found.that.contains....200,I.plan.tasks.carefully,I.do.things.without.thinking,I.make.up.my.mind.quickly,I.am.happy.go.lucky,I.don.t..pay.attention.,I.have..racing..thoughts,I.plan.trips.well.ahead.of.time,I.am.self.controlled,I.concentrate.easily,I.save.regularly,I..squirm..at.plays.or.lectures,I.am.a.careful.thinker,I.plan.for.job.security,I.say.things.without.thinking,I.like.to.think.about.complex.problems,I.change.jobs,I.act..on.impulse.,I.get.easily.bored.when.solving.thought.problems,I.act.on.the.spur.of.the.moment,I.am.a.steady.thinker,I.change.residences,I.buy.things.on.impulse,I.can.only.think.about.one.thing.at.a.time,I.change.hobbies,I.spend.or.charge.more.than.I.earn,I.often.have.extraneous.thoughts.when.thinking,I.am.more.interested.in.the.present.than.the.future,I.am.restless.at.the.theater.or.lectures,I.like.puzzles,I.am.future.oriented
17,5/14/13 18:57,62745,Male,29,5/14/83,Brazilian,Ireland,No,Portugeuse,Third Level (Cert/Diploma/General degree),Assistant,Right handed,Yes,No,No,Yes,2003,16,NA,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,9,3,No,Yes,Yes,6,2,7,5,3,4,2,6,1,5,4,5,3,3,4,5,1,2,6,6,2,6,7,6,6,6,6,7,2,6,2,2,2,3,2,4,1,1,3,3,3,3,4,3,2,1,2,2,3,2,1,2,3,2,2,3,1,3,2,2
18,5/15/13 11:10,62718,Female,26,5/24/86,Irish,Ireland,Yes,NA,Fourth Level,Administration & Management,Right handed,Yes,No,No,Yes,2009,17,12000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,8,3,No,NA,Yes,5,7,1,5,3,2,7,1,1,2,2,4,3,1,7,3,2,5,1,5,7,6,1,5,7,5,7,5,1,4,1,3,3,2,2,3,1,2,2,4,2,3,3,3,2,2,3,2,3,3,3,3,2,3,2,2,2,2,1,2
19,5/15/13 11:16,62719,Male,27,05/06/1986,Irish,Ireland,Yes,NA,Third Level (Honours degree),Computer & IT,Right handed,Yes,No,No,Yes,2005,17,15000,No,NA,No,NA,NA,NA,Yes,No,NA,NA,Yes,Yes,9,5,No,No,No,6,7,1,6,4,3,5,1,1,1,2,4,2,1,7,2,1,3,2,1,5,5,3,2,5,3,6,6,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2
20,5/15/13 11:22,62726,Male,28,5/22/84,Irish,Ireland,Yes,NA,Fourth Level,Computer & IT,Right handed,Yes,No,No,Yes,2004,14,NA,Yes,speeding,No,NA,NA,NA,Yes,No,NA,NA,Yes,No,NA,NA,No,Yes,Yes,6,6,3,5,6,4,6,4,6,1,4,5,6,5,1,1,5,6,7,7,6,6,7,7,7,7,2,5,1,1,2,3,3,4,3,4,4,2,2,1,1,2,1,2,1,3,2,1,2,2,2,4,2,3,2,3,2,2,2,1
21,5/15/13 11:29,62725,Female,31,10/17/81,Irish,Ireland,Yes,NA,Third Level (Honours degree),Study & Research,Left handed,Yes,No,No,Yes,2005,17,10000,No,NA,Yes,1,Wrote off my car ,0,No,No,NA,NA,Yes,Yes,12,2,No,Yes,Yes,7,7,4,4,1,1,1,1,1,1,4,1,7,1,1,1,NA,1,7,1,7,7,1,1,1,1,7,7,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,2,3,1,1,4,4,1,1,1,1,1,4,4,4,1,4,1
22,5/15/13 11:45,62735,Male,32,02/06/1981,Spanish,Ireland,No,Spanish,Third Level (Honours degree),Computer & IT,Right handed,Yes,No,No,Yes,2000,18,NA,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,18,4,No,No,No,3,1,1,2,2,1,5,1,4,6,2,1,5,2,6,1,1,5,6,4,5,7,7,2,4,6,6,5,1,7,2,2,1,2,2,3,1,3,3,1,3,2,3,3,3,2,2,2,2,3,1,1,4,3,1,2,3,3,1,3
23,5/15/13 11:55,62734,Female,28,6/18/84,Estonian,Ireland,No,Estonian,Third Level (Cert/Diploma/General degree),Health Care,Right handed,Yes,No,No,Yes,2006,11,4000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,12,4,No,Yes,Yes,5,7,2,5,5,5,4,6,1,2,7,2,7,6,5,2,1,6,7,2,6,3,6,7,7,3,3,7,1,1,3,3,1,4,2,NA,2,4,3,3,3,2,3,3,2,2,3,2,3,4,2,3,1,2,1,3,2,2,1,2
24,5/15/13 12:00,62739,Female,29,4/25/84,Irish,England,Yes,NA,Fourth Level,Study & Research,Right handed,No,Yes,Yes,No,NA,29,NA,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,3,4,No,No,No,7,2,1,7,5,1,3,1,1,1,1,1,5,1,3,3,2,2,2,1,6,7,5,1,1,3,7,7,1,1,2,2,4,3,2,3,3,2,2,3,2,3,3,2,2,2,2,2,2,2,3,3,3,2,2,4,4,2,4,1
25,5/15/13 12:27,62738,Female,28,7/19/84,Australian,England,Yes,NA,Third Level (Honours degree),Administration & Management,Right handed,Yes,No,No,Yes,2004,16,500,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,11,4,No,No,No,7,7,1,1,5,6,6,1,1,3,5,1,6,1,5,6,6,1,5,1,7,7,1,5,3,3,7,7,5,2,1,3,1,3,2,NA,1,2,2,1,2,2,2,4,2,2,2,2,2,2,2,1,1,1,1,2,2,3,1,1
26,5/15/13 12:41,62733,Male,36,05/11/1977,Irish,Ireland,Yes,NA,Third Level (Honours degree),Computer & IT,Left handed,Yes,No,No,Yes,1994,17,12000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,18,3,No,No,Yes,3,1,1,5,7,3,6,2,1,5,3,3,2,3,1,5,1,5,2,1,4,5,3,1,1,5,4,5,4,2,2,2,2,3,3,3,2,3,3,1,2,3,3,4,3,3,2,3,2,3,2,2,3,2,1,3,2,2,3,3
27,5/15/13 12:45,62732,Female,32,8/21/80,Irish,Ireland,Yes,NA,Third Level (Honours degree),Office Work,NA,Yes,No,No,Yes,2008,26,1200,No,NA,Yes,1,Not,0,No,No,NA,NA,Yes,No,NA,NA,No,NA,No,7,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,4,1,1,1,1,1,2,2,3,3,3,3,1,2,2,1,2,3,2,1,4,1,1,3,1,3,2,2,3,1,1,3,3,2,2,1
28,5/15/13 12:49,41343,Female,48,05/01/1965,Irish,Ireland,Yes,NA,Third Level (Honours degree),Teaching,Right handed,Yes,No,No,Yes,1991,17,5000,No,NA,No,NA,NA,NA,Yes,No,15,NA,Yes,No,NA,NA,Yes,No,No,7,5,1,1,1,6,7,1,1,5,1,1,7,1,NA,5,6,1,1,1,7,7,7,1,1,6,7,7,7,7,NA,2,4,3,2,NA,1,2,1,3,2,4,4,3,1,3,2,2,3,3,2,2,3,3,1,3,4,2,2,3
29,5/15/13 13:05,62731,Male,49,11/30/63,Irish,Ireland,Yes,NA,Third Level (Honours degree),Administration & Management,Right handed,Yes,No,No,Yes,2000,20,15000,Yes,speeding,No,NA,NA,NA,Yes,No,NA,NA,Yes,Yes,30,10,Yes,Yes,Yes,7,5,7,5,7,4,7,3,1,1,1,5,2,3,7,1,1,6,1,1,7,5,5,1,4,5,5,7,1,1,2,2,3,3,2,2,1,2,2,2,2,2,4,2,3,1,2,1,3,3,2,2,1,1,2,2,2,2,4,1
30,5/15/13 13:18,62727,Male,18,08/12/1994,Irish,Ireland,Yes,NA,Secondary (Leaving Cert),Study & Research,Right handed,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Yes,No,0.5,0.5,Yes,No,No,6,3,5,NA,2,NA,7,5,1,1,1,NA,1,1,1,1,1,5,NA,4,2,7,1,1,5,5,6,5,1,3,1,4,4,1,3,3,1,1,2,3,NA,4,2,4,1,NA,1,4,4,3,3,3,1,1,1,NA,3,4,2,1
31,5/15/13 13:37,62730,Female,61,10/19/50,Irish,Ireland,Yes,NA,Fourth Level,Teaching,Left handed,Yes,No,No,Yes,1975,23,10000,No,NA,No,NA,NA,NA,No,No,NA,NA,No,No,NA,NA,No,No,No,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,5,3,1,1,2,2,1,1,1,2,2,4,1,4,3,1,2,2,1,1,1,2,2,2,1,3,2,3,2,1,2,2,2,1,2,1,2,1,1
32,5/15/13 13:49,62736,Female,28,3/19/85,Irish,Ireland,Yes,NA,Fourth Level,Accounting & Finance,Right handed,Yes,No,No,Yes,2005,19,10000,No,NA,No,NA,NA,NA,Yes,No,NA,NA,Yes,Yes,16,7,No,NA,NA,5,2,1,4,6,5,3,1,1,2,3,2,2,1,5,5,1,3,1,1,4,3,3,1,1,2,6,5,3,1,2,2,3,3,2,3,2,2,3,1,2,2,2,1,2,4,2,2,2,2,3,NA,2,1,2,3,3,2,3,2
33,5/15/13 14:15,62728,Male,68,06/07/1944,Irish,Ireland,No,Irish,Fourth Level,Teaching,Right handed,Yes,No,No,Yes,1965,21,12000,No,NA,No,NA,NA,NA,No,No,NA,NA,No,NA,NA,NA,No,No,No,3,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,2,3,3,5,1,1,NA,3,3,3,2,2,2,2,1,2,3,1,2,2,1,1,1,1,3,1,1,3,1,3,1,1,3,3,1
34,5/15/13 14:21,62750,Male,47,07/09/1966,Irish,Ireland,Yes,NA,Third Level (Cert/Diploma/General degree),Accounting & Finance,Right handed,Yes,No,No,Yes,1987,20,12000,Yes,speeding,No,NA,NA,NA,Yes,Yes,39,35,Yes,Yes,30,14,No,Yes,No,6,5,6,6,6,6,5,6,1,3,5,2,2,5,3,1,1,5,5,2,6,5,5,3,4,5,4,7,2,2,2,3,4,3,3,3,3,3,2,3,2,3,2,3,3,2,3,2,3,3,2,2,1,3,2,2,3,2,2,3
35,5/15/13 14:45,62749,Female,37,5/14/75,Irish,Ireland,Yes,NA,Third Level (Honours degree),Administration & Management,Right handed,Yes,No,No,Yes,2003,26,10000,No,NA,No,NA,NA,NA,Yes,Yes,6,3,Yes,Yes,20,10,No,No,No,6,5,1,1,7,1,3,1,2,2,1,1,1,1,2,1,1,1,5,1,2,5,5,3,1,2,1,7,1,1,2,2,2,4,3,2,2,2,2,3,3,2,2,2,3,3,2,2,3,2,1,3,2,2,2,3,3,2,3,3
36,5/15/13 14:51,62748,Female,45,6/30/67,Irish,Ireland,Yes,NA,Secondary (Leaving Cert),Homemaker,Right handed,Yes,No,Yes,Yes,1994,23,10000,Yes,speeding,No,NA,NA,NA,Yes,Yes,25,12,Yes,Yes,27,18,No,Yes,No,7,5,1,5,7,5,3,1,2,4,2,2,1,1,1,5,1,5,5,3,6,6,3,1,1,5,5,NA,1,1,2,3,2,3,2,3,1,2,2,4,1,2,3,2,4,2,2,3,3,2,2,1,1,2,3,2,2,2,3,2
37,5/15/13 15:01,62753,Female,42,2/23/71,Irish,Ireland,Yes,NA,Third Level (Honours degree),Office Work,Right handed,Yes,No,No,Yes,2000,30,21700,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,17,2,No,No,No,6,3,1,2,5,2,5,1,2,1,1,5,2,1,4,2,1,4,2,1,5,5,3,2,3,1,7,5,1,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,3,2,2,3,3
38,5/15/13 15:07,62743,Female,37,11/06/1975,Irish/American,Ireland,Yes,NA,Third Level (Honours degree),Administration & Management,Left handed,Yes,No,No,Yes,1992,16,3000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,20,4,No,No,No,6,1,6,4,5,4,5,1,1,1,1,4,2,1,1,1,1,3,2,1,3,2,1,1,1,3,7,7,1,1,2,2,3,2,4,4,3,2,3,1,2,3,3,3,2,4,4,2,2,2,2,2,2,2,1,3,2,1,3,2
39,5/15/13 15:43,62737,Male,35,02/06/1977,Irish,Ireland,Yes,NA,Fourth Level,Administration & Management,Right handed,Yes,Yes,Yes,No,NA,12,NA,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,20,10,No,Yes,Yes,6,3,7,3,7,5,5,1,3,2,5,7,1,7,5,2,1,7,1,7,1,1,3,5,2,2,2,6,6,7,2,3,2,3,2,3,2,2,3,3,2,3,3,3,3,1,3,2,2,2,4,2,2,3,3,3,3,3,2,3
40,5/15/13 15:58,62772,Female,27,12/17/85,Irish,Ireland,Yes,NA,Third Level (Honours degree),Teaching,Right handed,Yes,No,No,Yes,2006,18,10000,No,NA,Yes,1,not serious,1,No,No,NA,NA,Yes,Yes,10,6,No,No,No,5,2,1,1,5,5,1,1,1,3,2,2,3,1,3,4,2,1,5,2,6,2,2,1,1,6,5,5,1,3,2,2,1,3,2,2,1,2,2,3,2,2,1,2,4,2,2,3,2,2,3,2,3,2,1,3,2,1,3,2
41,5/15/13 16:10,46814,Male,27,07/04/1985,Irish,Ireland,Yes,NA,Third Level (Honours degree),Engineering,Right handed,Yes,No,No,Yes,2008,22,15000,No,NA,No,NA,NA,NA,No,No,NA,NA,Yes,Yes,11,12,No,Yes,Yes,6,7,7,1,6,7,5,1,7,7,6,6,7,1,7,2,1,7,5,1,2,1,1,7,5,6,6,7,1,6,1,3,4,4,2,3,1,3,4,1,2,2,1,2,2,4,3,4,4,1,1,4,3,3,1,4,NA,4,1,3
