X,Timestamp,ID,GENDER,AGE,DATE_OF_BIRTH,0TIO0LITY,COUNTRY_OF_RESIDENCE,ENGLISH_FIRST_LENGUAGE,IF_NOT_ENGLISH_SPECIFY,HIGHEST_LEVEL_EDUCATION,OCCUPATION,DOMI0NT_HAND,DO_YOU_DRIVE,CURRENTLY_LEARNING_DRIVE,CURRENTLY_HOLD_LEARNING_DRIVER_PERMIT,CURRENTLY_HOLD_FULL_DRIVING_LICENSE,RECEIVE_FULL_DRIVING_LICENSE,AGE_STARTED_DRIVING,AVERAGE_KM_MILEAGE_PER_YEAR,HAVE_PE0LTY_POINTS,PE0LTY_POINTS_FOR_WHAT,COLLISIONS_LAST_TWO_YEARS,HOW_MANY_COLLISIONS_LAST_TWO_YEARS,HOW_SERIOUS_COLLISIONS,FOR_HOW_MANY_WERE_CULPABLE,EVER_SMOKED,SMOKE_CURRENTLY,HOW_MANY_YEARS_SMOKING,HOW_MANY_CIGARETTES_PER_WEEK,EVER_DRANK_ALCOHOL,DRINK_CURRENTLY,HOW_MANY_YEARS_DRINKING,HOW_MUCH_UNITS_OF_ALCOHOL_PER_WEEK,PREVIOUSLY_DIAGNOSED_HEALTH_CONDITION_REQUIRING_SIGNIFICANT_LIFESTYLE_CHANGES.,CONSIDER_YOURSELF_RISKTAKER,DEAL_WITH_RISK_AND_UNCERTANTLY_DAILY_BASIS,Admitting.that.your.tastes.are.different.from.those.of.a.friend,Going.camping.in.the.wilderness,Betting.a.day.s.income.at.the.horse.races,Investing.10..of.your.annual.income.in.a.moderate.growth.mutual.fund,Drinking.heavily.at.a.social.function,Taking.some.questio0ble.deductions.on.your.income.tax.return,Disagreeing.with.an.authority.figure.on.a.major.issue,Betting.a.day.s.income.at.a.high.stake.poker.game,Having.an.affair.with.a.married.man.woman,Passing.off.someone.else.s.work.as.your.own,Going.down.a.ski.run.that.is.beyond.your.ability,Investing.5..of.your.annual.income.in.a.very.speculative.stock,Going.whitewater.rafting.at.hight.water.in.the.spring,Betting.a.day.s.income.on.the.outcome.of.a.sporting.event,Engaging.in.unprotected.sex,Revealing.a.friend.s.secret.to.someone.else,Driving.a.car.without.wearing.a.seat.belt,Investing.10..of.your.annual.income.in.a.new.business.venture,Taking.a.skydiving.class,Riding.a.motorcycle.without.a.helmet,Choosing.a.career.that.you.truly.enjoy.over.a.more.secure.one,Speaking.your.mind.about.an.unpopular.issue.in.a.meeting.at.work,Sunbathing.without.sunscreen,Bungee.jumping.off.a.tall.bridge,Piloting.a.small.plane,Walking.home.alone.at.night.in.an.unsafe.area.of.town,Moving.to.a.city.far.away.from.your.extended.family,Starting.a.new.career.in.your.mid.thirties,Leaving.your.young.children.alone.at.home.while.running.an.errand,Not.returning.a.wallet.you.found.that.contains....200,I.plan.tasks.carefully,I.do.things.without.thinking,I.make.up.my.mind.quickly,I.am.happy.go.lucky,I.don.t..pay.attention.,I.have..racing..thoughts,I.plan.trips.well.ahead.of.time,I.am.self.controlled,I.concentrate.easily,I.save.regularly,I..squirm..at.plays.or.lectures,I.am.a.careful.thinker,I.plan.for.job.security,I.say.things.without.thinking,I.like.to.think.about.complex.problems,I.change.jobs,I.act..on.impulse.,I.get.easily.bored.when.solving.thought.problems,I.act.on.the.spur.of.the.moment,I.am.a.steady.thinker,I.change.residences,I.buy.things.on.impulse,I.can.only.think.about.one.thing.at.a.time,I.change.hobbies,I.spend.or.charge.more.than.I.earn,I.often.have.extraneous.thoughts.when.thinking,I.am.more.interested.in.the.present.than.the.future,I.am.restless.at.the.theater.or.lectures,I.like.puzzles,I.am.future.oriented,BIS_Sum,BIS_Attention,BIS_Cog_Instability,BIS_Motor,BIS_Perseverance,BIS_self_control,BIS_Cog_Complexity,DOS_Ethical,DOS_Fin_Investment,DOS_Fin_Gambling,DOS_HealthSafety,DOS_Recreatio0l,DOS_Social,AGE_Precent_Smoking,AGE_Precent_Drinking
11,5/14/13 17:59,62758,Female,28,5/24/84,Irish,Ireland,Yes,0,Fourth Level,Solicitor,Right handed,Yes,No,No,Yes,2008,24,0,No,0,No,0,0,0,Yes,No,0,0,Yes,Yes,13,10,No,No,No,5,5,1,5,5,5,5,1,1,4,4,5,4,1,3,5,5,5,5,1,7,5,5,5,4,5,5,5,4,2,4,3,2,3,2,0,3,3,2,3,1,3,2,3,2,2,2,2,3,3,3,3,2,2,4,2,3,1,2,2,0,9,0,20,9,18,12,21,15,3,24,27,32,28,15
12,5/14/13 18:01,62720,Male,26,1/30/87,American,Ireland,Yes,0,Third Level (Honours degree),Accountant,Left handed,Yes,No,No,Yes,2003,15,15000,No,0,Yes,2,minor: scraped a wall and rear-ended someone,2,No,No,0,0,Yes,Yes,8,12,No,No,Yes,7,6,1,7,6,1,6,1,1,1,5,7,7,1,1,5,2,6,7,1,3,6,5,1,3,5,7,4,1,1,4,1,3,2,1,2,4,3,3,4,2,4,4,3,4,3,1,2,1,4,4,2,4,1,2,2,2,2,3,4,81,12,5,12,15,22,15,10,20,3,20,29,33,26,18
13,5/14/13 18:17,62755,Male,20,3/21/93,French,France,No,French,Third Level (Cert/Diploma/General degree),Student,0,Yes,No,Yes,Yes,2011,16,20000,No,0,0,0,0,0,Yes,Yes,2,70,Yes,Yes,3,3,No,No,No,5,6,2,4,3,4,5,4,7,2,4,4,2,4,2,3,5,4,1,4,4,4,6,3,5,6,7,6,7,6,3,2,2,3,2,2,3,4,3,2,2,2,2,3,3,3,0,0,2,3,3,3,3,2,3,2,3,4,2,3,0,14,6,0,12,17,0,29,12,10,26,21,31,18,17
14,5/14/13 18:32,62756,Female,24,1/17/89,American,USA,Yes,0,Fourth Level,Student,Right handed,Yes,No,No,Yes,2005,16,1000,No,0,Yes,1,Not very,0,Yes,No,0,0,Yes,Yes,3,3,No,No,No,6,7,1,4,5,5,6,1,1,1,1,4,4,1,2,2,5,1,6,1,7,7,7,7,1,6,7,7,4,1,1,2,3,3,1,3,0,1,3,3,2,2,2,2,3,3,3,2,3,3,3,4,2,2,2,2,2,2,3,3,0,11,7,20,11,0,13,14,9,3,26,26,40,24,21
15,5/14/13 18:32,44390,Female,63,3/30/50,Irish,Ireland,Yes,0,Third Level (Cert/Diploma/General degree),Administrator,Right handed,Yes,0,Yes,Yes,1968,17,10000,No,0,0,0,0,0,No,No,0,0,Yes,Yes,43,8,No,No,Yes,2,1,1,5,1,1,4,1,1,1,1,4,1,1,1,2,2,3,1,1,3,2,6,1,6,1,5,6,0,1,4,2,4,3,2,2,4,4,3,4,2,3,3,2,4,3,2,1,1,2,2,2,2,3,1,3,3,3,4,3,81,12,8,15,10,20,16,0,12,3,12,11,22,63,20
16,5/14/13 18:47,62744,Female,22,6/15/90,Irish,Ireland,Yes,0,Third Level (Cert/Diploma/General degree),Care Worker,Right handed,Yes,No,Yes,No,2006,16,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,7,4,No,Yes,Yes,6,5,1,4,7,7,7,1,1,4,6,1,3,1,4,4,1,3,7,1,7,7,6,7,7,7,7,7,1,5,3,3,2,3,2,2,2,3,2,1,2,3,2,3,3,2,3,2,2,2,1,3,2,1,3,3,3,1,4,2,70,9,6,19,7,16,13,22,8,3,26,35,41,22,15
17,5/14/13 18:57,62745,Male,29,5/14/83,Brazilian,Ireland,No,Portugeuse,Third Level (Cert/Diploma/General degree),Adm Assistant,Right handed,Yes,No,No,Yes,2003,16,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,9,3,No,Yes,Yes,6,2,7,5,3,4,2,6,1,5,4,5,3,3,4,5,1,2,6,6,2,6,7,6,6,6,6,7,2,6,3,2,2,3,2,4,4,4,2,2,3,2,1,3,3,1,2,2,3,3,1,2,3,2,2,3,1,3,3,3,74,13,9,16,8,17,11,23,12,16,27,27,29,29,20
18,5/15/13 11:10,62718,Female,26,5/24/86,Irish,Ireland,Yes,0,Fourth Level,Development Executive,Right handed,Yes,No,No,Yes,2009,17,12000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,8,3,No,0,Yes,5,7,1,5,3,2,7,1,1,2,2,4,3,1,7,3,2,5,1,5,7,6,1,5,7,5,7,5,1,4,4,3,3,2,2,3,4,3,3,1,2,2,2,3,3,2,3,2,3,2,3,3,2,3,2,2,2,2,4,3,78,11,8,19,10,18,12,13,14,3,23,25,37,26,18
19,5/15/13 11:16,62719,Male,27,05/06/1986,Irish,Ireland,Yes,0,Third Level (Honours degree),IT Engineer,Right handed,Yes,No,No,Yes,2005,17,15000,No,0,No,0,0,0,Yes,No,0,0,Yes,Yes,9,5,No,No,No,6,7,1,6,4,3,5,1,1,1,2,4,2,1,7,2,1,3,2,1,5,5,3,2,5,3,6,6,1,1,3,2,2,3,2,2,3,3,3,3,2,3,3,1,4,2,2,2,2,3,2,3,2,2,3,3,3,2,3,3,76,12,7,17,9,16,15,9,13,3,19,20,33,27,18
20,5/15/13 11:22,62726,Male,28,5/22/84,Irish,Ireland,Yes,0,Fourth Level,IT Consultant,Right handed,Yes,No,No,Yes,2004,14,0,Yes,speeding,No,0,0,0,Yes,No,0,0,Yes,No,0,0,No,Yes,Yes,6,6,3,5,6,4,6,4,6,1,4,5,6,5,1,1,5,6,7,7,6,6,7,7,7,7,2,5,1,1,3,3,3,4,3,4,1,3,3,4,1,3,4,2,4,3,2,1,2,3,2,4,2,3,2,3,2,2,3,4,83,12,10,20,11,16,14,14,16,12,33,37,31,28,28
21,5/15/13 11:29,62725,Female,31,10/17/81,Irish,Ireland,Yes,0,Third Level (Honours degree),Student,Left handed,Yes,No,No,Yes,2005,17,10000,No,0,Yes,1,Wrote off my car ,0,No,No,0,0,Yes,Yes,12,2,No,Yes,Yes,7,7,4,4,1,1,1,1,1,1,4,1,7,1,1,1,0,1,7,1,7,7,1,1,1,1,7,7,1,1,4,1,4,4,1,1,4,4,4,4,1,4,4,2,2,1,1,4,4,4,1,1,1,1,4,4,4,1,1,4,80,11,6,19,7,22,15,6,6,6,0,27,36,31,19
22,5/15/13 11:45,62735,Male,32,02/06/1981,Spanish,Ireland,No,Spanish,Third Level (Honours degree),Software Engineer,Right handed,Yes,No,No,Yes,2000,18,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,18,4,No,No,No,3,1,1,2,2,1,5,1,4,6,2,1,5,2,6,1,1,5,6,4,5,7,7,2,4,6,6,5,1,7,3,2,1,2,2,3,4,2,2,4,3,3,2,3,2,2,2,2,2,2,1,1,4,3,1,2,3,3,4,2,72,12,8,11,9,17,15,20,8,4,26,20,31,32,14
23,5/15/13 11:55,62734,Female,28,6/18/84,Estonian,Ireland,No,Estonian,Third Level (Cert/Diploma/General degree),Nurse,Right handed,Yes,No,No,Yes,2006,11,4000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,12,4,No,Yes,Yes,5,7,2,5,5,5,4,6,1,2,7,2,7,6,5,2,1,6,7,2,6,3,6,7,7,3,3,7,1,1,2,3,1,4,2,0,3,1,2,2,3,3,2,3,3,2,3,2,3,1,2,3,1,2,1,3,2,2,4,3,0,10,0,18,8,14,13,12,13,14,22,42,28,28,16
24,5/15/13 12:00,62739,Female,29,4/25/84,Irish,England,Yes,0,Fourth Level,Research Scientist,Right handed,No,Yes,Yes,No,0,29,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,3,4,No,No,No,7,2,1,7,5,1,3,1,1,1,1,1,5,1,3,3,2,2,2,1,6,7,5,1,1,3,7,7,1,1,3,2,4,3,2,3,2,3,3,2,2,2,2,2,3,2,2,2,2,3,3,3,3,2,2,4,4,2,1,4,77,12,9,18,12,14,12,8,10,3,19,12,37,29,26
25,5/15/13 12:27,62738,Female,28,7/19/84,Australian,England,Yes,0,Third Level (Honours degree),Data Ma0ger,Right handed,Yes,No,No,Yes,2004,16,500,No,0,No,0,0,0,No,No,0,0,Yes,Yes,11,4,No,No,No,7,7,1,1,5,6,6,1,1,3,5,1,6,1,5,6,6,1,5,1,7,7,1,5,3,3,7,7,5,2,4,3,1,3,2,0,4,3,3,4,2,3,3,4,3,2,2,2,2,3,2,1,1,1,1,2,2,3,4,4,0,13,0,13,9,21,15,23,3,3,21,31,41,28,17
26,5/15/13 12:41,62733,Male,36,05/11/1977,Irish,Ireland,Yes,0,Third Level (Honours degree),IT Project Ma0ger,Left handed,Yes,No,No,Yes,1994,17,12000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,18,3,No,No,Yes,3,1,1,5,7,3,6,2,1,5,3,3,2,3,1,5,1,5,2,1,4,5,3,1,1,5,4,5,4,2,3,2,2,3,3,3,3,2,2,4,2,2,2,4,2,3,2,3,2,2,2,2,3,2,1,3,2,2,2,2,72,11,8,14,10,16,13,20,13,6,18,10,27,36,18
27,5/15/13 12:45,62732,Female,32,8/21/80,Irish,Ireland,Yes,0,Third Level (Honours degree),Civil Servant,0,Yes,No,No,Yes,2008,26,1200,No,0,Yes,1,Not,0,No,No,0,0,Yes,No,0,0,No,0,No,7,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,4,1,1,1,1,1,3,2,3,3,3,3,4,3,3,4,2,2,3,1,1,1,1,3,1,2,2,2,3,1,1,3,3,2,3,4,72,12,7,13,10,16,14,7,3,3,6,13,19,32,32
28,5/15/13 12:49,41343,Female,48,05/01/1965,Irish,Ireland,Yes,0,Third Level (Honours degree),Art Teacher,Right handed,Yes,No,No,Yes,1991,17,5000,No,0,No,0,0,0,Yes,No,15,0,Yes,No,0,0,Yes,No,No,7,5,1,1,1,6,7,1,1,5,1,1,7,1,0,5,6,1,1,1,7,7,7,1,1,6,7,7,7,7,0,2,4,3,2,0,4,3,4,2,2,1,1,3,4,3,2,2,3,2,2,2,3,3,1,3,4,2,3,2,0,12,0,17,10,0,15,31,3,3,0,16,42,33,48
29,5/15/13 13:05,62731,Male,49,11/30/63,Irish,Ireland,Yes,0,Third Level (Honours degree),Ma0ging Director,Right handed,Yes,No,No,Yes,2000,20,15000,Yes,speeding,No,0,0,0,Yes,No,0,0,Yes,Yes,30,10,Yes,Yes,Yes,7,5,7,5,7,4,7,3,1,1,1,5,2,3,7,1,1,6,1,1,7,5,5,1,4,5,5,7,1,1,3,2,3,3,2,2,4,3,3,3,2,3,1,2,2,1,2,1,3,2,2,2,1,1,2,2,2,2,1,4,66,11,5,17,8,16,9,9,16,13,26,14,38,49,19
30,5/15/13 13:18,62727,Male,18,08/12/1994,Irish,Ireland,Yes,0,Secondary (Leaving Cert),Student,Right handed,No,No,No,No,0,0,0,0,0,0,0,0,0,No,No,0,0,Yes,No,0.5,0.5,Yes,No,No,6,3,5,0,2,0,7,5,1,1,1,0,1,1,1,1,1,5,0,4,2,7,1,1,5,5,6,5,1,3,4,4,4,1,3,3,4,4,3,2,0,1,3,4,4,0,1,4,4,2,3,3,1,1,1,0,3,4,3,4,0,0,0,18,0,20,16,0,0,11,14,0,33,18,17.5
31,5/15/13 13:37,62730,Female,61,10/19/50,Irish,Ireland,Yes,0,Fourth Level,Lecturer,Left handed,Yes,No,No,Yes,1975,23,10000,No,0,No,0,0,0,No,No,0,0,No,No,0,0,No,No,No,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,5,3,1,1,2,2,1,1,1,3,2,4,1,4,3,4,3,3,4,1,4,3,2,3,1,3,2,3,3,1,2,2,2,1,2,1,2,4,4,77,13,7,16,8,19,14,8,3,3,9,10,16,61,61
32,5/15/13 13:49,62736,Female,28,3/19/85,Irish,Ireland,Yes,0,Fourth Level,Accountant,Right handed,Yes,No,No,Yes,2005,19,10000,No,0,No,0,0,0,Yes,No,0,0,Yes,Yes,16,7,No,0,0,5,2,1,4,6,5,3,1,1,2,3,2,2,1,5,5,1,3,1,1,4,3,3,1,1,2,6,5,3,1,3,2,3,3,2,3,3,3,2,4,2,3,3,1,3,4,2,2,2,3,3,0,2,1,2,3,3,2,2,3,0,11,7,0,12,16,14,17,9,3,18,10,26,28,12
33,5/15/13 14:15,62728,Male,68,06/07/1944,Irish,Ireland,No,Irish,Fourth Level,Retiured lecturer,Right handed,Yes,No,No,Yes,1965,21,12000,No,0,No,0,0,0,No,No,0,0,No,0,0,0,No,No,No,3,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,2,3,3,5,1,4,0,3,3,3,2,3,3,3,4,2,2,4,2,3,1,1,1,1,2,1,1,3,1,3,1,1,3,2,4,0,13,4,0,9,18,11,10,3,3,7,6,28,68,68
34,5/15/13 14:21,62750,Male,47,07/09/1966,Irish,Ireland,Yes,0,Third Level (Cert/Diploma/General degree),Fi0ncial Advisor,Right handed,Yes,No,No,Yes,1987,20,12000,Yes,speeding,No,0,0,0,Yes,Yes,39,35,Yes,Yes,30,14,No,Yes,No,6,5,6,6,6,6,5,6,1,3,5,2,2,5,3,1,1,5,5,2,6,5,5,3,4,5,4,7,2,2,3,3,4,3,3,3,2,2,3,2,2,2,3,3,2,2,3,2,3,2,2,2,1,3,2,2,3,2,3,2,74,12,8,20,7,15,12,15,13,17,22,24,33,8,17
35,5/15/13 14:45,62749,Female,37,5/14/75,Irish,Ireland,Yes,0,Third Level (Honours degree),Administrator,Right handed,Yes,No,No,Yes,2003,26,10000,No,0,No,0,0,0,Yes,Yes,6,3,Yes,Yes,20,10,No,No,No,6,5,1,1,7,1,3,1,2,2,1,1,1,1,2,1,1,1,5,1,2,5,5,3,1,2,1,7,1,1,3,2,2,4,3,2,3,3,3,2,3,3,3,2,2,3,2,2,3,3,1,3,2,2,2,3,3,2,2,2,75,14,7,18,8,17,11,8,3,3,18,16,24,31,17
36,5/15/13 14:51,62748,Female,45,6/30/67,Irish,Ireland,Yes,0,Secondary (Leaving Cert),Homemaker/artist,Right handed,Yes,No,Yes,Yes,1994,23,10000,Yes,speeding,No,0,0,0,Yes,Yes,25,12,Yes,Yes,27,18,No,Yes,No,7,5,1,5,7,5,3,1,2,4,2,2,1,1,1,5,1,5,5,3,6,6,3,1,1,5,5,0,1,1,3,3,2,3,2,3,4,3,3,1,1,3,2,2,1,2,2,3,3,3,2,1,1,2,3,2,2,2,2,3,69,11,7,17,8,17,9,18,12,3,20,15,0,20,18
